ti,abstrct,authors,doi,pdate
R-loop dependent promoter-proximal termination ensures genome stability,"The proper regulation of transcription is essential for maintaining genome integrity and executing other downstream cellular functions1,2. Here, we identify SOSS-INTAC as a stable association of the genome stability regulator Sensor of Single-stranded DNA (ssDNA) (SOSS)3 and the transcription regulator Integrator-PP2A (INTAC)4-6. Via SSB1-mediated ssDNA recognition, SOSS-INTAC stimulates promoter-proximal termination of transcription and attenuates paused Pol II-associated R-loops to prevent R-loop-induced genome instability. SOSS-INTAC-dependent attenuation of R-loops is enhanced by SSB1's ability to form liquid-like condensates. Deletion of, or introduction of cancer-associated mutations within its intrinsically disordered region (IDR), leads to pervasive accumulation of R-loops, highlighting a genome surveillance function of SOSS-INTAC that enables timely termination of transcription at promoters to constrain R-loop accumulation to ensure genome stability.",Congling Xu Chengyu Li Jiwei Chen Yan Xiong Zhibin Qiao Pengyu Fan Conghui Li Shuangyu Ma Jin Liu Aixia Song Bolin Tao Tao Xu Wei Xu Yayun Chi Jingyan Xue Pu Wang Dan Ye Hongzhou Gu Peng Zhang Qiong Wang Ruijing Xiao Jingdong Cheng Hai Zheng Xiaoli Yu Zhen Zhang Jiong Wu Kaiwei Liang Yan-Jun Liu Huasong Lu Fei Xavier Chen,10.1038s41586-023-06515-5,2023-08-09
Dopamine and glutamate regulate striatal acetylcholine in decision-making,"Striatal dopamine (DA) and acetylcholine (Ach) are essential for the selection and reinforcement of motor actions and decision-making1. In vitro studies have revealed an intrastriatal circuit in which Ach, released by cholinergic interneurons (CINs), drives DA release, and DA in turn inhibits CIN activity via dopamine D2 receptors (D2R). Whether and how this circuit contributes to striatal function in vivo is largely unknown. To define the role of this circuit in vivo, we monitored Ach and DA signals in the ventrolateral striatum of mice performing a reward-based decision-making task. We establish that DA and Ach exhibit multiphasic and anticorrelated transients that are modulated by decision history and reward outcome. DA dynamics and reward encoding do not require Ach release by CINs. However, DA inhibits Ach transients in a D2R-dependent manner and loss of this regulation impairs decision-making. To determine how other striatal inputs shape Ach signals, we assessed the contribution of cortical and thalamic projections and found that glutamate release from both sources is required for Ach release. Altogether, we uncover a dynamic relationship between DA and Ach during decision-making and reveal multiple modes of CIN regulation. These findings deepen our understanding of the neurochemical basis of decision-making and behavior.",Lynne Chantranupong Celia C. Beron Joshua A. Zimmer Michelle J. Wen Wengang Wang Bernardo L. Sabatini,10.1038s41586-023-06492-9,2023-08-09
Tautomeric Mixture Coordination Enables Efficient Lead-Free Perovskite LEDs,"Lead (Pb) halide perovskite light-emitting diodes (PeLEDs) have demonstrated extraordinary optoelectronic performance1-3. However, potential toxicity issues with Pb4,5 mean that removing Pb from the best-performing PeLEDs—without compromising their excellent external quantum efficiencies (EQEs)—remains a challenge. Here we report a tautomeric mixture coordination-induced electron localization strategy to stabilize Pb-free TEA2SnI4 (TEAI, 2-thiophenethylammonium iodide) perovskite by incorporating cyanuric acid (CA). We demonstrate that a crucial function of the coordination is to amplify electronic effects and even extend to Sn atoms without strong bonding with CA, due to the formation of H-bonded tautomeric dimer and trimer superstructures on the perovskite surface. This electron localization weakens adverse effects from Anderson localization and improves the ordering in crystal structure of TEA2SnI4. These factors give a two orders of magnitude reduction in nonradiative recombination capture coefficient and approximately 2-fold enhancement in exciton binding energy. Our Pb-free PeLED has an EQE of up to 20.29 per cent, representing a performance comparable to that of state-of-the-art Pb-containing PeLEDs6-12. We anticipate that these findings will provide insights into the stabilization of Sn(II) perovskites and further progress Pb-free perovskite applications.",Dongyuan Han Jie Wang Lorenzo Agosta Ziang Zang Bin Zhao Lingmei Kong Haizhou Lu Irea Mosquera-Lois Virginia Carnevali Jianchao Dong Jianheng Zhou Huiyu Ji Lukas Pfeifer Shaik M. Zakeeruddin Yingguo Yang Bo Wu Ursula Rothlisberger Xuyong Yang Michael Grätzel Ning Wang,10.1038s41586-023-06514-6,2023-08-09
Neuronal migration prevents spatial competition in retinal morphogenesis,"The concomitant occurrence of tissue growth and organization is a hallmark of organismal development1–3. This often means that proliferating and differentiating cells are found at the same time in a continuously changing tissue environment. How cells adapt to architectural changes to prevent spatial interference remains unclear. Here, to understand how cell movements that are key for growth and organization are orchestrated, we study the emergence of photoreceptor neurons that occur during the peak of retinal growth, using zebrafish, human tissue and human organoids. Quantitative imaging reveals that successful retinal morphogenesis depends on the active bidirectional translocation of photoreceptors, leading to a transient transfer of the entire cell population away from the apical proliferative zone. This pattern of migration is driven by cytoskeletal machineries that differ depending on the direction: microtubules are exclusively required for basal translocation, whereas actomyosin is involved in apical movement. Blocking the basal translocation of photoreceptors induces apical congestion, which hampers the apical divisions of progenitor cells and leads to secondary defects in lamination. Thus, photoreceptor migration is crucial to prevent competition for space, and to allow concurrent tissue growth and lamination. This shows that neuronal migration, in addition to its canonical role in cell positioning4, can be involved in coordinating morphogenesis. Experiments in zebrafish and human tissues show that, during retinal morphogenesis, emerging photoreceptor cells migrate in a bidirectional manner, which lessens competition for space and helps to ensure that the retina is formed correctly.",Mauricio Rocha-Martins Elisa Nerli Jenny Kretzschmar Martin Weigert Jaroslav Icha Eugene W. Myers Caren Norden,10.1038s41586-023-06392-y,2023-08-09
No evidence for magnetic field effects on the behaviour of Drosophila,"Migratory songbirds have the remarkable ability to extract directional information from the Earth’s magnetic field1,2. The exact mechanism of this light-dependent magnetic compass sense, however, is not fully understood. The most promising hypothesis focuses on the quantum spin dynamics of transient radical pairs formed in cryptochrome proteins in the retina3–5. Frustratingly, much of the supporting evidence for this theory is circumstantial, largely because of the extreme challenges posed by genetic modification of wild birds. Drosophila has therefore been recruited as a model organism, and several influential reports of cryptochrome-mediated magnetic field effects on fly behaviour have been widely interpreted as support for a radical pair-based mechanism in birds6–23. Here we report the results of an extensive study testing magnetic field effects on 97,658 flies moving in a two-arm maze and on 10,960 flies performing the spontaneous escape behaviour known as negative geotaxis. Under meticulously controlled conditions and with vast sample sizes, we have been unable to find evidence for magnetically sensitive behaviour in Drosophila. Moreover, after reassessment of the statistical approaches and sample sizes used in the studies that we tried to replicate, we suggest that many—if not all—of the original results were false positives. Our findings therefore cast considerable doubt on the existence of magnetic sensing in Drosophila and thus strongly suggest that night-migratory songbirds remain the organism of choice for elucidating the mechanism of light-dependent magnetoreception. Following testing of magnetic field effects on 97,658 flies moving in a two-arm maze and on 10,960 flies performing spontaneous escape behaviour (negative geotaxis), no evidence was found for magnetically sensitive behaviour in Drosophila.",Marco Bassetto Thomas Reichl Dmitry Kobylkov Daniel R. Kattnig Michael Winklhofer P. J. Hore Henrik Mouritsen,10.1038s41586-023-06397-7,2023-08-09
Sustained wet–dry cycling on early Mars,"The presence of perennially wet surface environments on early Mars is well documented1,2, but little is known about short-term episodicity in the early hydroclimate3. Post-depositional processes driven by such short-term fluctuations may produce distinct structures, yet these are rarely preserved in the sedimentary record4. Incomplete geological constraints have led global models of the early Mars water cycle and climate to produce diverging results5,6. Here we report observations by the Curiosity rover at Gale Crater indicating that high-frequency wet–dry cycling occurred in early Martian surface environments. We observe exhumed centimetric polygonal ridges with sulfate enrichments, joined at Y-junctions, that record cracks formed in fresh mud owing to repeated wet–dry cycles of regular intensity. Instead of sporadic hydrological activity induced by impacts or volcanoes5, our findings point to a sustained, cyclic, possibly seasonal, climate on early Mars. Furthermore, as wet–dry cycling can promote prebiotic polymerization7,8, the Gale evaporitic basin may have been particularly conducive to these processes. The observed polygonal patterns are physically and temporally associated with the transition from smectite clays to sulfate-bearing strata, a globally distributed mineral transition1. This indicates that the Noachian–Hesperian transition (3.8–3.6 billion years ago) may have sustained an Earth-like climate regime and surface environments favourable to prebiotic evolution. Observations by the Curiosity rover at Gale Crater on Mars indicate that high-frequency wet–dry cycling occurred on the early Martian surface, indicating a possible seasonal climate conducive to prebiotic evolution on early Mars.",W. Rapin G. Dromart B. C. Clark J. Schieber E. S. Kite L. C. Kah L. M. Thompson O. Gasnault J. Lasue P.-Y. Meslin P. J. Gasda N. L. Lanza,10.1038s41586-023-06220-3,2023-08-09
Reversed Holocene temperature–moisture relationship in the Horn of Africa,"Anthropogenic climate change is predicted to severely impact the global hydrological cycle1, particularly in tropical regions where agriculture-based economies depend on monsoon rainfall2. In the Horn of Africa, more frequent drought conditions in recent decades3,4 contrast with climate models projecting precipitation to increase with rising temperature5. Here we use organic geochemical climate-proxy data from the sediment record of Lake Chala (Kenya and Tanzania) to probe the stability of the link between hydroclimate and temperature over approximately the past 75,000 years, hence encompassing a sufficiently wide range of temperatures to test the ‘dry gets drier, wet gets wetter’ paradigm6 of anthropogenic climate change in the time domain. We show that the positive relationship between effective moisture and temperature in easternmost Africa during the cooler last glacial period shifted to negative around the onset of the Holocene 11,700 years ago, when the atmospheric carbon dioxide concentration exceeded 250 parts per million and mean annual temperature approached modern-day values. Thus, at that time, the budget between monsoonal precipitation and continental evaporation7 crossed a tipping point such that the positive influence of temperature on evaporation became greater than its positive influence on precipitation. Our results imply that under continued anthropogenic warming, the Horn of Africa will probably experience further drying, and they highlight the need for improved simulation of both dynamic and thermodynamic processes in the tropical hydrological cycle. Climate-proxy data indicate that during the last glacial period in the Horn of Africa higher temperatures were associated with greater moisture availability, whereas during the current interglacial period, as well as historically, higher temperatures have been associated with increased drought.",A. J. Baxter D. Verschuren F. Peterse D. G. Miralles C. M. Martin-Jones A. Maitituerdi T. Van der Meeren M. Van Daele C. S. Lane G. H. Haug D. O. Olago J. S. Sinninghe Damsté,10.1038s41586-023-06272-5,2023-08-09
Lactate limits CNS autoimmunity by stabilizing HIF-1α in dendritic cells,"Dendritic cells (DCs) have a role in the development and activation of self-reactive pathogenic T cells1,2. Genetic variants that are associated with the function of DCs have been linked to autoimmune disorders3,4, and DCs are therefore attractive therapeutic targets for such diseases. However, developing DC-targeted therapies for autoimmunity requires identification of the mechanisms that regulate DC function. Here, using single-cell and bulk transcriptional and metabolic analyses in combination with cell-specific gene perturbation studies, we identify a regulatory loop of negative feedback that operates in DCs to limit immunopathology. Specifically, we find that lactate, produced by activated DCs and other immune cells, boosts the expression of NDUFA4L2 through a mechanism mediated by hypoxia-inducible factor 1α (HIF-1α). NDUFA4L2 limits the production of mitochondrial reactive oxygen species that activate XBP1-driven transcriptional modules in DCs that are involved in the control of pathogenic autoimmune T cells. We also engineer a probiotic that produces lactate and suppresses T cell autoimmunity through the activation of HIF-1α–NDUFA4L2 signalling in DCs. In summary, we identify an immunometabolic pathway that regulates DC function, and develop a synthetic probiotic for its therapeutic activation. Lactate produced by dendritic cells (DCs) suppresses T-cell-mediated autoimmunity through a mechanism in which lactate activates HIF-1α–NDUFA4L2 signalling in DCs and thereby limits DC-mediated pro-inflammatory responses such as the development of encephalitogenic T cells.",Liliana M. Sanmarco Joseph M. Rone Carolina M. Polonio Gonzalo Fernandez Lahore Federico Giovannoni Kylynne Ferrara Cristina Gutierrez-Vazquez Ning Li Anna Sokolovska Agustin Plasencia Camilo Faust Akl Payal Nanda Evelin S. Heck Zhaorong Li Hong-Gyun Lee Chun-Cheih Chao Claudia M. Rejano-Gordillo Pedro H. Fonseca-Castro Tomer Illouz Mathias Linnerbauer Jessica E. Kenison Rocky M. Barilla Daniel Farrenkopf Nikolas A. Stevens Gavin Piester Elizabeth N. Chung Lucas Dailey Vijay K. Kuchroo David Hava Michael A. Wheeler Clary Clish Roni Nowarski Eduardo Balsa Jose M. Lora Francisco J. Quintana,10.1038s41586-023-06409-6,2023-08-09
Carbonate-rich crust subduction drives the deep carbon and chlorine cycles,"The flux balances of carbon and chlorine between subduction into the deep mantle and volcanic emissions into the atmosphere are crucial for the habitability of our planet1,2. However, pervasive loss of fluids from subducting slabs has been thought to cut off the delivery of both carbon and chlorine to the deep mantle owing to their high mobility under hydrous conditions3,4. Our new high-pressure experiments show that most carbonates (>75 wt%) in carbonate-rich crustal rocks—one of the main subducting carbon reservoirs—survive devolatilization and hydrous melting in cold and warm subduction zones, indicating that their subduction has driven the deep carbon cycle since the Mesoproterozoic. We found that KCl and NaCl, respectively, become stable phases crystallizing from hydrous carbonatite melts with low chlorine solubility in warm and hot subduction zones, resulting in the sequestration of chlorine in the solid residue in downwelling slabs. Accordingly, the subduction of carbonate-rich rocks facilitated highly effective recycling of both chlorine and carbon into the deep mantle at intermediate stages of Earth’s history and led to declining atmospheric pCO2 and the formation of carbon-rich and chlorine-rich mantle reservoirs since the Mesoproterozoic. This period of optimal carbon and chlorine subduction may explain the ages of eclogitic diamonds and the formation of the HIMU mantle source. New experiments show that most carbonates in carbonate-rich crustal rocks survive devolatilization and hydrous melting in cold and warm subduction zones, demonstrating their role in driving the deep carbon and chlorine cycles since the Mesoproterozoic.",Chunfei Chen Michael W. Förster Stephen F. Foley Svyatoslav S. Shcheka,10.1038s41586-023-06211-4,2023-08-09
Mitochondrial integrated stress response controls lung epithelial cell fate,"Alveolar epithelial type 1 (AT1) cells are necessary to transfer oxygen and carbon dioxide between the blood and air. Alveolar epithelial type 2 (AT2) cells serve as a partially committed stem cell population, producing AT1 cells during postnatal alveolar development and repair after influenza A and SARS-CoV-2 pneumonia1–6. Little is known about the metabolic regulation of the fate of lung epithelial cells. Here we report that deleting the mitochondrial electron transport chain complex I subunit Ndufs2 in lung epithelial cells during mouse gestation led to death during postnatal alveolar development. Affected mice displayed hypertrophic cells with AT2 and AT1 cell features, known as transitional cells. Mammalian mitochondrial complex I, comprising 45 subunits, regenerates NAD+ and pumps protons. Conditional expression of yeast NADH dehydrogenase (NDI1) protein that regenerates NAD+ without proton pumping7,8 was sufficient to correct abnormal alveolar development and avert lethality. Single-cell RNA sequencing revealed enrichment of integrated stress response (ISR) genes in transitional cells. Administering an ISR inhibitor9,10 or NAD+ precursor reduced ISR gene signatures in epithelial cells and partially rescued lethality in the absence of mitochondrial complex I function. Notably, lung epithelial-specific loss of mitochondrial electron transport chain complex II subunit Sdhd, which maintains NAD+ regeneration, did not trigger high ISR activation or lethality. These findings highlight an unanticipated requirement for mitochondrial complex I-dependent NAD+ regeneration in directing cell fate during postnatal alveolar development by preventing pathological ISR induction. This study highlights the role of mitochondrial complex I-dependent NAD+ regeneration in directing lung epithelial cell fate during postnatal alveolar development by preventing pathological integrated stress response induction.",SeungHye Han Minho Lee Youngjin Shin Regina Giovanni Ram P. Chakrabarty Mariana M. Herrerias Laura A. Dada Annette S. Flozak Paul A. Reyfman Basil Khuder Colleen R. Reczek Lin Gao José Lopéz-Barneo Cara J. Gottardi G. R. Scott Budinger Navdeep S. Chandel,10.1038s41586-023-06423-8,2023-08-09
